start,end,type
0,0,WORKS_FOR
1,0,WORKS_FOR
2,0,WORKS_FOR
3,0,WORKS_FOR
4,0,WORKS_FOR
5,0,WORKS_FOR
6,0,WORKS_FOR
7,0,WORKS_FOR
8,0,WORKS_FOR
9,0,WORKS_FOR
10,0,WORKS_FOR
11,0,WORKS_FOR
12,0,WORKS_FOR
13,0,WORKS_FOR
14,0,WORKS_FOR
15,0,WORKS_FOR
16,0,WORKS_FOR
17,0,WORKS_FOR
18,0,WORKS_FOR
19,0,WORKS_FOR
20,0,WORKS_FOR
21,0,WORKS_FOR
22,0,WORKS_FOR
23,0,WORKS_FOR
24,0,WORKS_FOR
25,0,WORKS_FOR
26,0,WORKS_FOR
27,0,WORKS_FOR
28,0,WORKS_FOR
29,0,WORKS_FOR
30,0,WORKS_FOR
31,0,WORKS_FOR
32,0,WORKS_FOR
33,0,WORKS_FOR
34,0,WORKS_FOR
35,0,WORKS_FOR
36,0,WORKS_FOR
37,0,WORKS_FOR
38,0,WORKS_FOR
39,0,WORKS_FOR
40,0,WORKS_FOR
41,0,WORKS_FOR
42,0,WORKS_FOR
43,0,WORKS_FOR
44,0,WORKS_FOR
45,0,WORKS_FOR
46,0,WORKS_FOR
47,3,WORKS_FOR
48,27,WORKS_FOR
49,3,WORKS_FOR
50,14,WORKS_FOR
51,44,WORKS_FOR
52,17,WORKS_FOR
53,40,WORKS_FOR
54,10,WORKS_FOR
55,6,WORKS_FOR
56,15,WORKS_FOR
57,25,WORKS_FOR
58,46,WORKS_FOR
59,38,WORKS_FOR
60,4,WORKS_FOR
61,25,WORKS_FOR
62,19,WORKS_FOR
63,41,WORKS_FOR
64,15,WORKS_FOR
65,13,WORKS_FOR
66,42,WORKS_FOR
67,34,WORKS_FOR
68,44,WORKS_FOR
69,3,WORKS_FOR
70,37,WORKS_FOR
71,31,WORKS_FOR
72,5,WORKS_FOR
73,16,WORKS_FOR
74,11,WORKS_FOR
75,31,WORKS_FOR
76,2,WORKS_FOR
77,11,WORKS_FOR
78,32,WORKS_FOR
